src	tgt
Hello! Hello! Hello! Hello! How are you? How are you? I'm fine, thank you. I'm fine, thank you. How are you? How are you?	你好！你好！你好！你好！你好吗？你好吗？  很好，谢谢你。  很好，谢谢你。你好吗？你好吗？
Look at me! This is my face.	看我！这是我的脸。
Close your eyes. Open your mouth. Touch youe nose. Touch your ear. Touch your face.	闭上你的眼镜。张开你的嘴巴。摸你的鼻子。摸你的耳朵。摸你的脸。
Letters and sounds	字母与发音
Listen,repeat and chant.	听一听，重复读并唱一唱
E	E
face	脸
foot	脚
F	F
green	绿色
gift 	礼物
G	G
hand	手
hi	嗨
H	H
ice cream	冰淇淋
ice	冰
I	I
Listen adn circel	听一听，圈一圈
Write and say	写一写，说一说
Ee Ff Gg Hh Ii	Ee Ff Gg Hh Ii
Hi, Mike! How are you?	嗨，迈克！你好吗？
Very well, thanks.	很好，谢谢。
Let's make a puppet!	我们来做玩具吧！
Great!	好极了！
Let's play	让我们玩一玩
Hi John!How are you?	你好，约翰！你好吗？
I'm fine, thank you.	我很好，谢谢你。
Hi Chen Jie!How are you?	你好，陈洁！你好吗？
I'm fine.	我很好。
Hi, Mike! How are you?	嗨，迈克！你好吗？
Very well, thanks.	很好，谢谢。
This is the arm.	这是手臂。
This is the leg.	这是腿。
Clap your hands. Touch your head. Wave your arms. Shake your legs. Shake your body. Stamp your foot.	拍手。摸头。挥舞手臂。晃动腿。晃动身体。跺脚。
Start to read	开始阅读
Find and say.	找一找 说一说
I see E,i…	我看到E，i……
Read and count	读一读并计数
body hand nose	身体 手 鼻子
ear mouth leg	耳朵 嘴巴 腿
nose leg hand mouth	鼻子 腿 手 嘴巴
body ear foot arm	身体 耳朵 脚 手臂
eye mouth body	眼睛 嘴巴 身体
Let's check	查一查
Listen and number.	听录音，标序号。
Look and match	看一看并搭配
Let's sing	唱一唱
Colour song.	颜色歌。
Head and shoulders, knees and toes. Head and shoulders, knees and toes, knees and toes. Head and shoulders, knees and toes, knees and toes. Eyes and ears and mouth and nose. Head and shoulders, knees and toes, knees and toes.	头和肩膀，膝盖和脚趾头和肩膀，膝盖和脚趾，膝盖和脚趾。头和肩膀，膝盖和脚趾，膝盖和脚趾。眼睛、耳朵、嘴和鼻子。头和肩膀，膝盖和脚趾，膝盖和脚趾。
Let's make a puppet.	我们来做玩具。
Good idea!	好主意！
First, make the head.	首先，做头。
Then, make the body.	接着，做身体。
Look! An arm and a leg. 看！	一个手臂和一个腿。
Let's play with the puppet.	我们来玩玩具吧。
Goodbye!	再见！
Recycle1	复习1
Read aloud	大声读
Morning！	早上好！
Good morning. I’m Chen Jie. This is Sarah.	早上好。我是陈洁。这是萨拉
My name’s Zip.	我叫热普。
I’m Zoom.	我是佐姆。
White hands? 	白色的手？
Brown arms?	棕色的胳膊？
Hello!	你们好！
Look! Zoom and Zip!	看！佐姆和热普！     
Bye!	再见！
Hey!	嘿！
Can you act it out?	你能把它表演出来吗？
Listen and colour.	听一听，涂一涂
Look and tick(√).	看一看，并打√。
I see …	我看见……
Go up the ladders.Go down the snakes.	顺着梯子爬上去。顺着蛇爬下来。
Match,write and read aloud.	搭配，写一写并大声朗读。
B	B
c	c
C	C
d	d
D	D
b	b
E	E
g	g
G	G
e	e
Sing a song	唱首歌
How are you?	你好吗？
Hello! Mike. Hello, Chen Jie. Hello, hello! How are you? This is Mary. This is Willy. Nice to meet you. How are you? I’m fine. I’m fine. Thank you, thank you very much. I’m fine. I’m fine. Thank you, thank you very much.	你好！麦克。你好，陈杰。你好，你好！你好吗？这是玛丽。这是威利。很高兴见到你。你好吗？我很好。我很好。谢谢你，非常感谢你。我很好。我很好。谢谢你，非常感谢你。
Unit Four	第四单元
Look, a panda!	看，一只熊猫！
What's that?	那是什么？
It's an elephant.	它是一只大象。
Cool! I like it.	酷！我喜欢它。
We love animals.	我们喜欢动物。
Look, Zoom!	看，佐姆！
What's this?	这是什么？
It's a bear.	它是一只熊。
What's this?	这是什么？
It's a duck.	它是一只鸭子。
What's this?	这是什么？
It's a dog.	它是一只狗。
What's this?	这是什么？
Oh, no! It's a bear!	哦，不！它是一只熊！
Oh, it's Zoom!	哦，它是佐姆！
Let's play.	玩一玩！
Quack!Quack!	嘎！嘎！
What's this?	这是什么？
It's a duck.	它是一只鸭子。
Woof!Woof!	汪！汪！
What's this?	这是什么？
It's a dog.	它是一只狗。
It's a duck.	它是一只鸭子。
It's a dog.	它是一只狗。
Let's chant.	我们来说唱。
Look at the cat. It is fat. Look at the pig. It is big. Look at the dog. It's on the log. Look at the duck. It's in the truck. Look at the bear. It's on the pear.	看这只猫。它很胖。看这头猪。它很大。看这只狗。它在原木上。看这只鸭子。它在卡车里。看这只熊。它在梨上。
Letters and sounds	字母与发音
Listen, repeat and chant.	听一听，重复读并唱一唱
J j jeep jump	J 吉普 跳
K k kite kate	K 风筝 凯特
L l long leg 	L 长 腿
M m mum milk	M 妈妈 牛奶
N n nose noodles	N 鼻子 面条
Listen and circle.	听一听，圈一圈。
Write and say	写一写，说一说
Jj Kk Ll Mm Nn	Jj Kk Ll Mm Nn
What's that?	那是什么？
A bear?	一只熊吗？
No! It's a panda!	不是，那是一只熊猫。
Look! A funny dog!	看，一只好有趣的狗。
Cool! I like it.	真酷！我喜欢它。
Let's play	让我们玩一玩
What's that?	那是什么？
Guess!	猜一猜！
It's a panda.I like it.	是一只熊猫。我喜欢它。
Thanks.	谢谢。
What's that?	那是什么？
It's a tiger!	它是一只老虎！
Act like an elephant. Act like a bird. Act like a tiger. Act like a monkey. Act like a panda.	扮演一只大象。  扮演一只鸟。扮演一只老虎。  扮演一只猴子。  扮演一只熊猫。
Start to read	开始阅读
Find and say.	找一找 说一说
I see K,j…	我看到K，j……
Read and count	读一读并计数
Let's check	查一查
Listen and number.	听录音，标序号。
Look and match	看一看并搭配
Let's sing	唱一唱
Old MacDonald	老麦克唐纳
Hello, Pig! Follow me!	你好，猪！跟我来！
Hello, Dog! Follow Pig. Follow me!	你好，狗！跟着猪。跟着我！
Hello, Duck! Follow Zoom. Follow Pig. Follow me!	你好，鸭子！跟着佐姆。跟着猪。跟着我！
Hello,Rabbit! Follow Zoom. Follow Pig. Follow Dog. Follow me!	你好，兔子！跟着佐姆。跟着猪。  跟着狗。跟着我！
I have a carrot.Follow me!	我有一个胡萝卜。跟着我！
Follow Zip! Follow me!	跟着热普！跟着我！
Unit Five	第五单元
I'd like some bread, please.	请给我一些面包
Can I have some milk?	我能喝些牛奶吗？
Here you are.	给你。
Thanks.	谢谢。
You're welcome.	不客气。
Have some cake.	吃些蛋糕吧。
Let's eat!	我们来吃东西吧！
Here you are.	给你。
Thank you.	谢谢你。
I'd like some juice, please.	请给我一些果汁。
Here you are.Have some bread, too.	给你。也吃些面包吧。
